"Mouse_ID","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs"
"AA_0767",2019,"34.3886518654149",FALSE,-11.1466666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0768",2019,"30.8140988305254",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0770",2019,"33.8739454084123",FALSE,-10.3233333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0771",2019,"30.8526751214929",FALSE,-9.94666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0772",2019,"35.7934605893711",FALSE,-9.686,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0773",2019,"31.0387080548942",FALSE,-10.46,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0774",2019,"31.477476961352",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0775",2019,"34.1371246148978",FALSE,-5.52333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0776",2019,"30.2687718611032",FALSE,-7.62166666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0777",2019,"23.2388609125523",FALSE,-8.56333333333334,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0778",2019,"34.7854897502798",FALSE,-9.10166666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0779",2019,"32.698889578208",FALSE,-13.84,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0780",2019,"33.2804494164708",FALSE,-9.75333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0782",2019,"29.6728921131893",FALSE,-9.83333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0783",2019,"34.6658860401855",FALSE,-4.11333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0785",2019,"29.4747477333916",FALSE,-8.90666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0786",2019,"32.7036826340474",FALSE,-11.4966666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0787",2019,"33.2813021855124",FALSE,-6.72,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0788",2019,"31.8481098492267",FALSE,-7.27,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0789",2019,"35.1494689495464",FALSE,-11.0733333333333,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0790",2019,"29.8832395686024",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0791",2019,"27.501060562451",FALSE,-2.99,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0792",2019,"17.0843358776484",FALSE,4.04333333333334,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0793",2019,"30.7702684469196",FALSE,-8.80833333333334,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0794",2019,"30.7702402135229",FALSE,-8.11,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0795",2019,"24.0448093828212",FALSE,-5.33666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0796",2019,"33.3477520371565",FALSE,-8.29333333333333,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0797",2019,"34.0399680091326",FALSE,-10.7666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0798",2019,"34.7737870053575",FALSE,-9.48,TRUE,NA,"Fec:FALSE Tissue:TRUE"
